#{"t_start": 1780852170.4811265, "env_id": "highway-fast-v0"}
r,l,t
7.98056,10,2.180295
8.979308,12,2.710351
2.302312,4,2.893224
7.712169,9,3.283352
3.051115,5,3.497787
3.046173,4,3.678021
2.899647,4,3.859106
5.545982,7,4.157028
25.046424,30,5.405708
11.319327,17,6.125647
1.979667,3,6.255231
22.150527,30,7.487131
13.3113,18,8.245484
4.245069,5,8.464398
3.596921,5,8.681882
2.985496,4,8.85783
7.832711,11,9.323137
10.681239,14,9.897735
10.166408,13,10.44943
6.112536,8,10.78766
6.351369,9,11.1749
4.712642,6,11.44112
8.053554,12,11.958651
12.678552,16,12.779404
3.845398,5,13.001295
9.844685,14,13.690164
6.053508,9,14.07643
20.29939,28,15.267661
8.597827,12,15.817046
15.467011,20,16.703911
6.285995,10,17.139535
5.499372,7,17.45563
1.946334,3,17.60449
1.019667,2,17.703984
3.797343,5,17.924867
14.729027,18,18.707852
9.466362,14,19.300488
4.780134,7,19.627676
16.180082,22,20.56548
8.647271,11,21.04019
15.281015,19,21.845625
4.247285,6,22.105507
11.27766,14,22.705565
1.535646,3,22.843874
4.099378,6,23.105221
4.384424,6,23.36563
7.367017,11,23.833542
7.600185,11,24.300496
14.84432,20,25.135431
12.382488,18,25.905531
23.416656,30,27.29818
8.096456,11,27.766711
2.632132,4,27.946181
11.745056,14,28.53538
6.145605,9,28.924674
2.763732,4,29.100265
3.36422,5,29.315912
16.415514,24,30.305455
13.017889,15,30.925896
8.313112,9,31.318802
10.198095,14,31.903897
12.367817,18,32.664388
6.801153,10,33.106416
9.280927,13,33.653363
3.279313,4,33.834429
21.796292,26,34.942166
10.950912,15,35.564914
6.431256,9,35.944462
11.245697,13,36.511037
2.880129,4,36.684522
2.013001,3,36.817359
3.631021,5,37.041852
3.913158,5,37.255833
11.916963,17,37.965943
1.748486,3,38.09535
1.913001,3,38.23595
13.764747,17,38.955599
9.779779,11,39.426119
7.679523,11,39.89373
2.013463,3,40.029529
25.374731,30,41.284564
6.817518,10,41.697416
11.034399,14,42.291589
6.18626,9,42.674972
4.531563,7,42.9659
14.112823,17,43.684411
1.733333,3,43.815325
7.152219,10,44.235658
2.013463,3,44.377172
7.011843,10,44.797476
2.483022,4,44.968825
11.184715,16,45.643952
9.631839,14,46.225282
3.120175,5,46.447148
8.811459,11,46.914711
1.766044,3,47.053588
6.99937,9,47.44459
18.45185,26,48.524718
2.046796,3,48.660338
8.297126,12,49.16117
11.045828,15,49.797422
15.077061,20,50.626337
23.982269,30,51.885525
12.917651,18,52.636155
18.911546,21,53.54459
2.498757,4,53.725673
10.676738,13,54.305665
10.086888,13,55.004779
8.035996,12,55.525951
9.448645,11,56.037946
8.966084,13,56.659723
1.715775,3,56.806111
2.499378,4,57.011474
3.252581,5,57.249169
4.017913,5,57.477186
8.246445,10,57.920146
9.866365,14,58.515321
1.698799,3,58.65691
20.318852,28,59.874415
11.210971,15,60.541022
6.479668,9,60.929247
1.980129,3,61.064735
10.645712,13,61.620978
12.835373,18,62.395776
9.097521,12,62.905362
17.530635,21,63.800271
3.233026,5,64.01537
14.532805,20,64.855968
2.598134,4,65.038601
2.880129,4,65.220372
5.513159,7,65.516118
6.598753,9,65.905589
5.131108,7,66.218425
12.501012,17,66.94541
13.995215,17,67.674524
5.819764,8,68.018473
12.779314,15,68.667002
7.948847,11,69.13519
21.217737,30,70.389054
9.410664,12,70.904405
3.863548,5,71.124577
2.566045,4,71.30684
2.433333,4,71.489776
2.797383,4,71.6736
6.066354,8,72.020453
8.614507,11,72.491507
14.763119,21,73.375436
1.846796,3,73.516499
13.21077,17,74.23765
6.696393,8,74.585568
7.928576,10,75.015391
14.878593,21,75.895339
3.298755,5,76.12468
23.583673,30,77.434653
17.319652,24,78.46047
5.845517,7,78.765642
25.362203,30,80.05538
21.486012,28,81.254652
10.013112,11,81.735568
8.735056,13,82.300335
2.663732,4,82.479221
5.499332,7,82.784513
24.845853,30,84.042698
9.549917,13,84.595749
3.752357,6,84.858215
14.75321,21,85.746918
12.365467,18,86.51207
5.66704,7,86.816713
24.444884,30,88.089282
1.980129,3,88.225326
5.798145,8,88.568591
7.753112,9,88.956041
8.533328,12,89.475315
3.679354,5,89.697598
14.516374,21,92.014405
19.713158,27,93.175748
7.946174,10,93.605575
14.646251,18,94.383646
9.212688,12,94.907595
21.197088,29,96.12919
3.717704,5,96.345756
8.996298,11,96.824447
9.000305,14,97.425215
2.013001,3,97.566813
20.295563,28,98.766091
11.879023,14,99.377697
3.478928,5,99.594748
12.012522,14,100.209028
9.04598,11,100.680507
17.852242,26,101.783885
8.716869,10,102.216897
6.945608,10,102.647809
12.017366,17,103.384572
16.669022,24,104.410843
22.651161,30,105.685564
2.646796,4,105.864487
7.579825,10,106.298463
7.046446,9,106.687457
3.913158,5,106.905933
1.279667,2,107.008494
3.463428,5,107.231712
6.245675,8,107.577515
1.733333,3,107.715426
2.013001,3,107.846029
2.551638,4,108.023559
2.118315,3,108.161466
12.418505,17,108.885143
6.685053,8,109.235607
8.252042,13,109.807686
4.329515,6,110.074639
4.850937,7,110.385336
22.483805,29,111.625046
3.800833,6,111.88652
7.798245,10,112.323625
23.630549,30,113.635271
17.998511,25,114.699774
15.097382,22,115.633404
14.284031,20,116.485426
1.851567,3,116.62546
9.766712,13,117.175535
4.432892,6,117.445611
3.916936,6,117.714339
25.015428,30,118.99117
5.250937,8,119.336742
6.012184,7,119.644576
3.796396,5,119.86584
5.998743,8,120.211666
23.399266,30,121.486032
5.031423,7,121.791496
13.845084,19,122.604487
8.833029,11,123.075512
6.933684,10,123.503491
23.664184,30,124.75705
2.046796,3,124.899786
14.310986,17,125.626093
15.5,22,126.544313
6.91691,10,126.973913
21.582481,30,128.221223
13.785286,18,128.999123
5.553554,9,129.377706
2.535022,4,129.559198
21.983109,29,130.788794
4.331469,6,131.053543
2.483601,4,131.227339
4.14598,5,131.448376
4.899453,7,131.754309
7.398542,9,132.150801
1.953097,3,132.290824
17.89723,25,133.3645
5.232711,7,133.6756
8.716651,12,134.190053
24.285605,30,135.480805
8.066044,11,135.975959
10.886218,15,136.640884
5.249453,7,136.954507
12.485041,17,137.68447
4.046452,5,137.906105
3.913158,5,138.137663
4.552926,7,138.444684
2.566362,4,138.626663
4.612647,6,138.893742
2.813001,4,139.068853
7.614477,9,139.455328
15.417208,21,140.347197
7.786842,11,140.816467
21.902322,30,142.07591
3.686444,5,142.301173
23.485106,30,143.549215
13.632438,18,144.305674
5.568706,8,144.649371
5.648764,7,144.955351
2.917693,4,145.129553
5.548563,8,145.47538
3.819779,5,145.696532
5.016314,7,145.995863
15.579366,21,146.885134
